Timestamp,"I am 18 or older, and I agree to answer this survey voluntarily and anonymously.","In the last 6 months, did you personally help arrange a repair, service, or installation for any home appliance (AC, fridge, washing machine, geyser, water purifier, or similar)?",Which appliance or service was this about?,What was the situation,How did you first get in touch with whoever helped,"Does your building/society have a shared maintenance office you can raise a request with, or does everyone arrange things on their own?","For this specific time, who was mainly responsible for each of these? [Decision]","For this specific time, who was mainly responsible for each of these? [Cost approval]","For this specific time, who was mainly responsible for each of these? [Payment]","For this specific time, who was mainly responsible for each of these? [Home access]","Was a specific date or time promised for the work, and was it kept?","After your first contact, did you need to follow up more than once before it was resolved?","Did any part, or the whole appliance, need to be picked up or delivered from somewhere else?","How do you usually keep track of servicing dates, warranty, or technician numbers? (Select all that apply)","Overall, how much effort or hassle did this take for you?","Has there been a small repair or issue at home that you just never got around to calling anyone about, or handled some other way instead of calling a professional? Briefly, what happened?","If a trusted person or service could handle this entire process for you next time, what's the one thing you'd always want to decide or approve yourself?",What is your age group?,What best describes you?,Which of these best describes your home?,Which city you live in?
9/8/2026 22:12:39,I agree,Yes,AC,"Routine maintenance or top-up, nothing broken","Used an app (like Urban Company, Housejoy)","No, everyone arranges it themselves",Family member,Me,Me,Family member,Yes and the promise was kept,"No, resolved after first contact",No,"A saved contact in my phone, I don't track it, I just call when needed",3,Yes changed the regulator of the gas cylinder.,Problem should be fixed once and for all.,45-54,Man,Rented,Vishakapatnam 
9/8/2026 22:20:11,I agree,Yes,Washing machine,There was an issue with water inlet ,Called a technician I already knew,"No, everyone arranges it themselves",Me,Family member,Family member,Me,Yes and the promise was kept,"Yes, 1-2 more times",No,"A saved contact in my phone, I don't track it, I just call when needed",1,None,Cost approval and home access ,25-34,Woman,Rented,Hyderabad 
9/8/2026 22:25:06,I agree,Yes,Water purifier,"Routine maintenance or top-up, nothing broken",Called the brand's service centre,"No, everyone arranges it themselves",Me,Family member,Me,Me,No clear time was given,"Yes, 3 or more times",No,"A saved contact in my phone, A whatsapp chat, We have an annual contract, I don't track it, I just call when needed",1,I will fix it on my own,,45-54,Woman,Rented,Vizag 
9/8/2026 23:06:34,I agree,Yes,AC,"Routine maintenance or top-up, nothing broken","Used an app (like Urban Company, Housejoy)",A bit of both,Family member,Not applicable,Family member,Family member,Yes and the promise was kept,"No, resolved after first contact",No,"I don't track it, I just call when needed",1,There are no such incidents.  ,Service should be excellent and hasslefree,35-44,Man,Rented,Visakhapatnam
9/8/2026 23:10:34,I agree,No,,,,,,,,,,,,,,,,35-44,Prefer not to say,Rented,Visakhapatnam
9/8/2026 23:18:04,I agree,No,,,,,,,,,,,,,,,,35-44,Man,Own home,Visakhapatnam
9/9/2026 11:34:57,I agree,Yes,Geyser,New installation,Called a technician I already knew,"No, everyone arranges it themselves",Family member,Family member,Family member,Family member,Yes and the promise was kept,"No, resolved after first contact",No,A saved contact in my phone,1,Initially calling my society person to check the issue of the appliance ,,45-54,Woman,Rented,Vizag 
9/9/2026 12:04:14,I agree,No,,,,,,,,,,,,,,,,45-54,Man,Own home,Hyderabad 
9/9/2026 17:33:14,I agree,No,,,,,,,,,,,,,,,,35-44,Man,Living with family,Munich
9/9/2026 17:36:03,I agree,Yes,"Other home service (plumbing, electrical, pest control)","Routine maintenance or top-up, nothing broken","Through my building/society office, or a resident group recommendation",A bit of both,Family member,Family member,Me,Me,Yes and the promise was kept,"No, resolved after first contact",No,"A note, list or notebook, We have an annual contract",2,The door of the refrigerator was not being closed properly.. there was an issue with the gasket.. we did it ourselves ,Cost for the entire process ,45-54,Woman,Rented,Bengaluru 
9/9/2026 17:49:56,I agree,No,,,,,,,,,,,,,,,,35-44,Woman,Own home,"Gandhinagar, Gujarat "
9/9/2026 18:53:30,I agree,Yes,Washing machine,Some Part replacement ,Called the brand's service centre,Not sure,Family member,Family member,Me,Me,Yes and the promise was kept,"No, resolved after first contact",Not sure,"A saved contact in my phone, We have an annual contract",2,Community technicians ,Good & genuine service ,45-54,Woman,Own home,Hyderabad 
9/9/2026 19:22:54,I agree,Yes,"Other home service (plumbing, electrical, pest control)",It stopped working completely,"Through my building/society office, or a resident group recommendation","Yes, a shared office or approved list",Family member,Family member,Family member,Family member,Yes and the promise was kept,"Yes, 1-2 more times",No,"I don't track it, I just call when needed",3,Fixed a small issue related to by bicycle. ,Plumbing related ,45-54,Man,Rented,Bengaluru
9/9/2026 21:40:27,I agree,No,,,,,,,,,,,,,,,,65+,Man,Own home,Hyderabad 
9/10/2026 5:51:33,I agree,Yes,Other Kitchen appliance,"Routine maintenance or top-up, nothing broken",Asked a local shop,A bit of both,Me,Me,Me,Me,Yes but the promise was not kept,"Yes, 3 or more times",Not sure,"I don't track it, I just call when needed",5,Cool,Good to know,65+,Woman,Living with family,Hyderabad 
9/10/2026 7:48:58,I agree,Yes,Water purifier,It wasn't working as well as before,Called the brand's service centre,"No, everyone arranges it themselves",Me,Me,Family member,Me,Yes but the promise was not kept,"Yes, 1-2 more times",No,A whatsapp chat,3,No,Decide,35-44,Woman,Living with family,Hyderabad
9/10/2026 8:20:39,I agree,Yes,Water purifier,It wasn't working as well as before,Called the brand's service centre,"No, everyone arranges it themselves",Me,Me,Me,Family member,Yes and the promise was kept,"No, resolved after first contact",No,A saved contact in my phone,2,No,Cost,45-54,Woman,Own home,Hyderabad 
9/10/2026 8:37:08,I agree,No,,,,,,,,,,,,,,,,65+,Woman,Own home,Hyderabad 
9/10/2026 9:50:07,I agree,Yes,Washing machine,It wasn't working as well as before,Called a technician I already knew,"Yes, a shared office or approved list",Me,Me,Me,Me,Yes and the promise was kept,"Yes, 1-2 more times",No,"I don't track it, I just call when needed",2,Skip,Skip,45-54,Woman,Own home,Hyderabad 
